fecha,cantidad
04/10/2021,230173
05/10/2021,266819
06/10/2021,247802
07/10/2021,264907
08/10/2021,121394
09/10/2021,115996
10/10/2021,78773
11/10/2021,76454
12/10/2021,347355
13/10/2021,379991
14/10/2021,424535
15/10/2021,426489
16/10/2021,253953
17/10/2021,103671
18/10/2021,423525
19/10/2021,424397
20/10/2021,414987
21/10/2021,419960
22/10/2021,463814
23/10/2021,216899
24/10/2021,145946
25/10/2021,365125
26/10/2021,409356
27/10/2021,328540
28/10/2021,352695
29/10/2021,325085
30/10/2021,129588
31/10/2021,150134
01/11/2021,299065
02/11/2021,321221
03/11/2021,350732
04/11/2021,360105
05/11/2021,311438
06/11/2021,167181
07/11/2021,127900
08/11/2021,250285
09/11/2021,352655
10/11/2021,369895
11/11/2021,383263
12/11/2021,396234
13/11/2021,189705
14/11/2021,9692
15/11/2021,337828
16/11/2021,378293
17/11/2021,367507
18/11/2021,361617
19/11/2021,390478
20/11/2021,173977
21/11/2021,93414
22/11/2021,107549
23/11/2021,337150
24/11/2021,348155
25/11/2021,321055
26/11/2021,333309
27/11/2021,157103
28/11/2021,89504
29/11/2021,358359
30/11/2021,371427
01/12/2021,380711
02/12/2021,396814
03/12/2021,316113
04/12/2021,163823
05/12/2021,96542
06/12/2021,313226
07/12/2021,335961
08/12/2021,135197
09/12/2021,301863
10/12/2021,315359
11/12/2021,155302
12/12/2021,97449
13/12/2021,325952
14/12/2021,338535
15/12/2021,382753
16/12/2021,366411
17/12/2021,331252
18/12/2021,162249
19/12/2021,92461
20/12/2021,346195
21/12/2021,352443
22/12/2021,327165
23/12/2021,238799
24/12/2021,12864
25/12/2021,740
26/12/2021,53087
27/12/2021,433598
28/12/2021,524552
29/12/2021,499116
30/12/2021,426579
31/12/2021,32053
01/01/2022,4569
02/01/2022,103586
03/01/2022,492297
04/01/2022,551335
05/01/2022,546167
06/01/2022,547209
07/01/2022,571491
08/01/2022,271491
09/01/2022,164216
10/01/2022,516374
11/01/2022,501607
12/01/2022,502106
13/01/2022,466749
14/01/2022,421032
15/01/2022,188238
16/01/2022,133890
17/01/2022,421691
18/01/2022,408284
19/01/2022,387660
20/01/2022,384095
21/01/2022,372429
22/01/2022,173680
23/01/2022,118809
24/01/2022,367610
25/01/2022,348208
26/01/2022,345089
27/01/2022,352994
28/01/2022,348818
29/01/2022,157898
30/01/2022,96508
31/01/2022,359626
01/02/2022,343334
02/02/2022,317752
03/02/2022,280619
04/02/2022,323535
05/02/2022,135666
06/02/2022,91399
07/02/2022,288199
08/02/2022,273720
09/02/2022,302634
10/02/2022,269520
11/02/2022,242877
12/02/2022,123896
13/02/2022,77319
14/02/2022,231751
15/02/2022,219277
16/02/2022,217550
17/02/2022,213375
18/02/2022,217365
19/02/2022,89003
20/02/2022,54196
21/02/2022,205061
22/02/2022,205609
23/02/2022,208245
24/02/2022,173379
25/02/2022,208580
26/02/2022,73015
27/02/2022,35415
28/02/2022,45183
01/03/2022,44099
02/03/2022,135216
